Brand ID	Brand Name	Style Cat No	Reason Not Imprintable

1	American Apparel	3301T	Brand and catalog_no doesn't match imprintable in CRM
1	American Apparel	5450A	Brand and catalog_no doesn't match imprintable in CRM
2	Port and Company	CP80	Brand and catalog_no doesn't match imprintable in CRM
3	Gildan	2600	Brand and catalog_no doesn't match imprintable in CRM
4	Anvil	T310	Brand and catalog_no doesn't match imprintable in CRM
4	Anvil	T680	Brand and catalog_no doesn't match imprintable in CRM
8	Tultex	0213TC	Brand and catalog_no doesn't match imprintable in CRM
9	Sportek	F253	Brand not found in CRM
9	Sportek	T200	Brand not found in CRM
9	Sportek	T500	Brand not found in CRM
9	Sportek	T510	Brand not found in CRM
9	Sportek	YT200	Brand not found in CRM
18	Jerzees	4528M	Brand and catalog_no doesn't match imprintable in CRM
18	Jerzees	562	Brand and catalog_no doesn't match imprintable in CRM
